"is_canceled","lead_time","arrival_date_month","arrival_date_week_number","arrival_date_day_of_month","stays_in_weekend_nights","stays_in_week_nights","adults","children","babies","meal","country","market_segment","is_repeated_guest","previous_cancellations","previous_bookings_not_canceled","booking_changes","deposit_type","company","days_in_waiting_list","customer_type","required_car_parking_spaces","total_of_special_requests","reservation_status","name","email","phone.number","credit_card"
1,133,"January",1,3,0,3,2,0,0,"BB","ESP","Online TA",0,0,0,0,"No Deposit",NA,0,"Transient",0,1,"Canceled","Wendy Bass","Bass_Wendy@yandex.com","960-755-0066","************9386"
1,39,"February",8,25,2,1,2,2,0,"BB","ITA","Online TA",0,0,0,0,"No Deposit",NA,0,"Transient",0,0,"Canceled","Tanya Lawrence","Tanya.Lawrence@hotmail.com","199-612-9546","************6684"
1,44,"March",14,27,2,3,3,0,0,"BB","ESP","Online TA",0,0,0,0,"No Deposit",NA,0,"Transient",0,1,"Canceled","Miguel Davis","Davis_Miguel@aol.com","167-950-2491","************9988"
1,129,"October",41,7,0,1,3,0,0,"BB","PRT","Online TA",0,0,0,0,"No Deposit",NA,0,"Transient",0,0,"Canceled","Ashley Ochoa","Ashley_O@att.com","470-212-9681","************4248"
0,36,"October",44,28,1,2,2,0,0,"SC","ITA","Online TA",0,0,0,0,"No Deposit",NA,0,"Transient",0,1,"Check-Out","Jeffrey Stephens","Stephens.Jeffrey31@outlook.com","441-537-9761","************9305"
0,59,"January",5,28,0,1,1,0,0,"BB","PRT","Offline TA/TO",0,0,0,0,"No Deposit",NA,0,"Transient-Party",0,0,"Check-Out","John Harris","John_H@xfinity.com","631-586-2652","************9145"
1,25,"March",11,12,1,0,1,0,0,"BB","PRT","Groups",0,0,0,0,"Non Refund",NA,0,"Transient",0,0,"Canceled","Michael Miller","Michael_M@aol.com","355-833-3744","************5227"
0,54,"August",36,30,0,4,2,0,0,"BB","DEU","Online TA",0,0,0,0,"No Deposit",NA,0,"Transient",0,3,"Check-Out","Paul Brown","Paul.Brown@gmail.com","238-546-7665","************7504"
0,217,"October",44,23,2,3,2,0,1,"BB","GBR","Online TA",0,0,0,2,"No Deposit",NA,0,"Transient",0,3,"Check-Out","Caitlin Campos","Caitlin_Campos@xfinity.com","379-841-4192","************1118"
0,9,"February",9,26,2,5,1,0,0,"SC","CUB","Online TA",0,0,0,1,"No Deposit",NA,0,"Transient",0,0,"Check-Out","Donna Fields","Donna_Fields47@hotmail.com","197-671-9432","************8377"
1,52,"March",11,13,1,1,1,0,0,"BB","PRT","Offline TA/TO",0,0,0,0,"Non Refund",NA,0,"Transient",0,0,"Canceled","Brianna Lopez","BriannaLopez@aol.com","435-142-9234","************4028"
1,149,"August",34,20,2,1,2,0,0,"BB","ISR","Online TA",0,0,0,0,"No Deposit",NA,0,"Transient",0,0,"Canceled","Susan Mckee","SusanMckee@hotmail.com","434-586-5454","************5682"
1,38,"April",14,6,0,2,1,0,0,"BB","FRA","Online TA",0,0,0,0,"No Deposit",NA,0,"Transient",0,0,"Canceled","George Johnson","George_Johnson@xfinity.com","422-382-5709","************2985"
0,2,"November",46,11,0,1,2,0,0,"BB","PRT","Direct",0,0,0,0,"No Deposit",NA,0,"Transient",0,0,"Check-Out","Wendy Bates","Wendy_Bates@hotmail.com","606-107-9922","************9644"
0,1,"June",24,11,2,2,1,0,0,"BB","FRA","Online TA",0,0,0,0,"No Deposit",NA,0,"Transient",0,1,"Check-Out","Russell Butler","Russell_Butler@mail.com","719-209-8421","************9960"
0,116,"July",28,7,0,2,2,0,0,"BB","NOR","Direct",0,0,0,2,"No Deposit",NA,0,"Transient",0,0,"Check-Out","John Reyes","Reyes_John@hotmail.com","469-715-0283","************2868"
0,20,"July",30,22,0,2,2,0,0,"BB","PRT","Groups",0,0,0,0,"No Deposit",NA,0,"Transient-Party",0,0,"Check-Out","James Anderson","James_Anderson@xfinity.com","829-946-7309","************6027"
0,4,"December",53,28,0,1,2,2,0,"BB","ESP","Online TA",0,0,0,0,"No Deposit",NA,0,"Transient",0,0,"Check-Out","Andrea Whitaker","Andrea.Whitaker@comcast.net","382-052-5422","************4516"
0,19,"September",39,23,1,2,2,0,0,"SC","GBR","Online TA",0,0,0,0,"No Deposit",NA,0,"Transient",0,3,"Check-Out","Autumn Cummings","Cummings_Autumn@xfinity.com","899-661-8430","************3330"
1,9,"August",34,20,0,1,2,0,0,"BB","PRT","Online TA",0,0,0,0,"No Deposit",NA,0,"Transient",0,1,"Canceled","Stephen Maynard","StephenMaynard@yahoo.com","590-694-0590","************8629"
0,326,"December",53,30,0,2,2,2,0,"BB","DEU","Online TA",0,0,0,2,"No Deposit",NA,0,"Transient",0,1,"Check-Out","Ian Howard","IHoward58@hotmail.com","965-741-5462","************1856"
1,12,"July",28,15,1,1,2,0,0,"BB","MOZ","Online TA",0,0,0,0,"No Deposit",NA,0,"Transient",0,2,"Canceled","Brian Oneill","Brian.O@mail.com","993-211-8588","************2538"
1,67,"September",38,15,2,6,1,0,0,"BB","TUR","Online TA",0,0,0,0,"No Deposit",NA,0,"Transient",0,0,"Canceled","Benjamin Baker","Benjamin.Baker74@mail.com","528-192-3722","************3869"
0,4,"March",11,13,1,1,1,0,0,"BB","PRT","Online TA",0,0,0,0,"No Deposit",NA,0,"Transient",0,0,"Check-Out","James Bailey","James.Bailey64@protonmail.com","180-620-3410","************8363"
0,90,"April",15,8,1,2,2,0,0,"SC","IRL","Online TA",0,0,0,0,"No Deposit",NA,0,"Transient",0,1,"Check-Out","Keith Hughes","Keith.Hughes61@mail.com","840-398-8763","************8092"
0,130,"March",13,31,1,2,2,0,0,"BB","DEU","Offline TA/TO",0,0,0,0,"No Deposit",NA,0,"Transient",0,0,"Check-Out","Susan Vincent","Vincent.Susan@yahoo.com","436-169-8154","************4994"
1,103,"July",29,18,2,1,2,0,0,"HB","ITA","Offline TA/TO",0,0,0,0,"No Deposit",NA,0,"Transient-Party",0,0,"Canceled","Julie Hill","Hill_Julie@protonmail.com","970-151-4063","************1089"
